model_name,avoid_rep-mean,avoid_rep-std,enjoy-mean,enjoy-std,fluency-mean,fluency-std,inquisitive-mean,inquisitive-std,interest-mean,interest-std,listen-mean,listen-std,make_sense-mean,make_sense-std,persona_guess-mean,persona_guess-std,reward-mean,reward-std,turing-mean,turing-std
interesting_nidf_model_ct_setting9,0.7242268041237113,0.09141313325241339,0.7087628865979382,0.21741336813364062,0.9072164948453608,0.15364802639988537,0.5798969072164949,0.18495747544339333,0.7139175257731959,0.20928723763568854,0.7731958762886598,0.2033307517867631,0.8917525773195877,0.14317468466320774,0.22422680412371135,0.07602000620491044,0.6806987399770904,0.11183354141219849,0.6030927835051546,0.24014755268651866
interesting_nidf_model_ct_setting2,0.7263157894736842,0.08170618261189487,0.7,0.24762025255153147,0.9131578947368421,0.14853858728073774,0.6578947368421053,0.15833272585780342,0.7078947368421052,0.23127971097599825,0.8026315789473685,0.19158183919159263,0.8947368421052632,0.13366763262316098,0.20526315789473684,0.09582706029491117,0.6880116959064326,0.10598195130425325,0.5842105263157895,0.22539592742488274
responsiveness_model_bfw_setting_10,0.6958762886597938,0.10904224639848546,0.6056701030927835,0.25341749594395574,0.7731958762886598,0.21563402745723595,0.5798969072164949,0.15870932286949127,0.6443298969072165,0.25086204865760464,0.7551546391752577,0.18645976544006107,0.788659793814433,0.15373446692790452,0.18556701030927836,0.10934640946183725,0.6131156930126003,0.12727798456568962,0.4896907216494845,0.2432530971958127
responsiveness_model_bfw_setting_minus_10,0.7101063829787234,0.11705149513119889,0.6303191489361702,0.23836969377400724,0.8776595744680851,0.18502688437155412,0.598404255319149,0.17945723838124827,0.6409574468085106,0.235082914973909,0.7367021276595744,0.19076770043009889,0.7819148936170213,0.19376601702220195,0.22074468085106383,0.08036140920073474,0.6329787234042553,0.11714359488279119,0.5,0.23063280200722128
interesting_nidf_model_ct_setting7,0.7239583333333334,0.07636915780528739,0.7526041666666666,0.22677193385125705,0.90625,0.17020973581633533,0.6458333333333334,0.1640418307085794,0.7239583333333334,0.21794245784278832,0.8255208333333334,0.1772173206338446,0.8984375,0.1469220890826722,0.20833333333333334,0.09316949906249122,0.7025462962962963,0.11605859133250347,0.6380208333333334,0.25482273165079333
interesting_nidf_model_bfw_setting_06,0.7319587628865979,0.0646902082371708,0.7448453608247423,0.2241230948691718,0.8917525773195877,0.17915615666992543,0.6520618556701031,0.1415884710806224,0.7654639175257731,0.19601189012197465,0.8221649484536082,0.17934144594963716,0.8762886597938144,0.16498871931215695,0.23195876288659795,0.0646902082371708,0.7021764032073309,0.10928789572669019,0.6030927835051546,0.2582469082448526
repetition_model_setting35,0.7315789473684211,0.0653140718210045,0.7605263157894737,0.1950566364232255,0.9394736842105263,0.11306605820495177,0.6447368421052632,0.14317337377616257,0.7368421052631579,0.1862667196756462,0.8447368421052631,0.17836592845084778,0.9315789473684211,0.11146220307656515,0.20526315789473684,0.09582706029491117,0.7154970760233919,0.08585046285988637,0.6447368421052632,0.2554123275484406
interesting_nidf_model_bfw_setting_minus_10,0.7115384615384616,0.11071121801983455,0.6043956043956044,0.24602871623338582,0.8406593406593407,0.21134213809798794,0.6016483516483516,0.17766039795851366,0.6016483516483516,0.2313897987829183,0.7692307692307693,0.18616565215491668,0.8324175824175825,0.17006359934661716,0.18406593406593408,0.1101644926140847,0.6324786324786325,0.11756853310391402,0.5467032967032966,0.23119400988977196
responsiveness_model_bfw_setting_05,0.7311827956989247,0.07546058520224837,0.728494623655914,0.21891691474733688,0.8924731182795699,0.15291895326159022,0.6424731182795699,0.148459153456818,0.7311827956989247,0.2176257489033236,0.8413978494623656,0.17111645658967256,0.8790322580645161,0.16236203086603762,0.20698924731182797,0.09435445577840992,0.6974313022700122,0.10563431363451467,0.6236559139784946,0.25033218767360893
inquisitive_model_ct_setting10,0.6794117647058824,0.11889048783181022,0.7264705882352941,0.22236539025218585,0.9264705882352942,0.12616241523251304,0.6852941176470588,0.14426762904036142,0.6852941176470588,0.21404006351365001,0.7970588235294118,0.18979136241060798,0.9088235294117647,0.16648201997746948,0.20294117647058824,0.09772498662256558,0.6898692810457516,0.10286801010150204,0.5970588235294118,0.2575167545864415
inquisitive_model_ct_setting04,0.726063829787234,0.08210292042783582,0.7101063829787234,0.23150522571580467,0.9069148936170213,0.1748253024419659,0.648936170212766,0.1560787313949065,0.699468085106383,0.2175167737297057,0.8457446808510638,0.18632212646954247,0.9122340425531915,0.1490548539276814,0.2047872340425532,0.0962236835910933,0.6959219858156029,0.1089752622523817,0.6090425531914894,0.2618431768312011
human_eval,0.7254901960784313,0.09593326368029866,0.8284313725490197,0.22410057746396975,0.9142156862745098,0.17675970325590973,0.6568627450980392,0.1562487985344042,0.8063725490196079,0.20682847499793897,0.9093137254901961,0.15572889844730461,0.9607843137254902,0.12978629700856595,0.23039215686274508,0.06721230000393182,0.764705882352941,0.1070687520168721,0.8504901960784313,0.19883177168977517
interesting_nidf_model_ct_setting0,0.717391304347826,0.08419529013494383,0.7309782608695652,0.2338062175253198,0.9239130434782609,0.13156215692293702,0.657608695652174,0.12617594311134672,0.7255434782608695,0.22439466459999707,0.842391304347826,0.16367630811277825,0.9211956521739131,0.14242345305846368,0.1793478260869565,0.11256693031091294,0.7010869565217391,0.09866676707420655,0.6114130434782609,0.24551446216916734
interesting_nidf_model_ct_setting4,0.7335164835164835,0.06204170214635283,0.7087912087912088,0.22624422846058556,0.9230769230769231,0.14206245575657028,0.6456043956043956,0.1531085142098107,0.7115384615384616,0.18870246990191647,0.8296703296703297,0.19215064230819465,0.8956043956043956,0.14855500917138215,0.21978021978021978,0.08149668667138092,0.6953601953601953,0.10282360043844527,0.5906593406593407,0.25277711242633943
interesting_nidf_model_bfw_setting_minus_04,0.725,0.075,0.6972222222222222,0.23715455709434996,0.9083333333333333,0.14166666666666666,0.6361111111111111,0.16733661646476702,0.6694444444444444,0.23812863522386435,0.8388888888888889,0.1720429174133558,0.8916666666666667,0.13969212178533508,0.20555555555555555,0.09558139185602918,0.6845679012345679,0.09731574964409072,0.5888888888888889,0.21509400758451047
inquisitive_model_ct_setting00,0.7367021276595744,0.06691354056068684,0.7313829787234043,0.22253185793360583,0.9335106382978723,0.12724333738197538,0.6276595744680851,0.1776946073243624,0.7180851063829787,0.2313065415442436,0.8404255319148937,0.16247366329043897,0.8856382978723404,0.16973420091073244,0.2127659574468085,0.08900638580149739,0.7027186761229315,0.09739766231086688,0.6382978723404256,0.24083471112067595
interesting_nidf_model_bfw_setting_04,0.739247311827957,0.050720328666970994,0.760752688172043,0.21662730771941702,0.9220430107526881,0.1370704170320641,0.6693548387096774,0.13300340727798907,0.7553763440860215,0.18323003427905343,0.8521505376344086,0.1477272221939149,0.9032258064516129,0.1323498239257115,0.23387096774193547,0.06141752504728957,0.7180406212664276,0.09108202435868479,0.6263440860215054,0.2278453774238397
responsiveness_model_bfw_setting_13,0.6861702127659575,0.14093235424991243,0.5372340425531915,0.2847111423632476,0.6462765957446809,0.2714460255214465,0.5531914893617021,0.2122333759921277,0.5904255319148937,0.267601302725644,0.6861702127659575,0.21860343178760125,0.6728723404255319,0.23070946240555149,0.15691489361702127,0.12085710390959321,0.5540780141843972,0.1608708070356076,0.4574468085106383,0.2720056952243744
baseline_model,0.5384615384615384,0.1774478600214851,0.5714285714285714,0.24664149107102679,0.8214285714285714,0.22015764296317772,0.6126373626373627,0.17876152181315866,0.5741758241758241,0.23874242837802673,0.6703296703296703,0.22507361701389056,0.8543956043956044,0.18555653616228882,0.2032967032967033,0.09744037280751758,0.586996336996337,0.13832049697523371,0.4368131868131868,0.21798719148216894
